字,韻部,韻母
東,東,ɒŋ
蝀,東,ɒŋ
同,東,ɒŋ
童,東,ɒŋ
僮,東,ɒŋ
銅,東,ɒŋ
桐,東,ɒŋ
筒,東,ɒŋ
瞳,東,ɒŋ
罿,東,ɒŋ
潼,東,ɒŋ
曈,東,ɒŋ
侗,東,ɒŋ
中,冬,ɔŋ
衷,冬,ɔŋ
忠,冬,ɔŋ
蟲,冬,ɔŋ
沖,冬,ɔŋ
种,冬,ɔŋ
終,冬,ɔŋ
潀,冬,ɔŋ
螽,冬,ɔŋ
忡,冬,ɔŋ
盅,冬,ɔŋ
崇,冬,ɔŋ
嵩,冬,ɔŋ
崧,東,ɒŋ
娀,冬,ɔŋ
菘,東,ɒŋ
戎,冬,ɔŋ
絨,冬,ɔŋ
弓,蒸,ɔɪŋ
躬,冬,ɔŋ
宮,東,ɒŋ
融,冬,ɔŋ
肜,冬,ɔŋ
雄,蒸,ɔɪŋ
熊,蒸,ɔɪŋ
瞢,蒸,ɔɪŋ
夢,蒸,ɔɪŋ
穹,蒸,ɔɪŋ
芎,蒸,ɔɪŋ
窮,冬,ɔŋ
藭,冬,ɔŋ
馮,蒸,ɔɪŋ
芃,侵,ɔm
風,侵,ɔm
楓,侵,ɔm
豐,冬,ɔŋ
酆,冬,ɔŋ
灃,冬,ɔŋ
充,冬,ɔŋ
隆,冬,ɔŋ
癃,冬,ɔŋ
窿,冬,ɔŋ
空,東,ɒŋ
箜,東,ɒŋ
倥,東,ɒŋ
公,東,ɒŋ
功,東,ɒŋ
工,東,ɒŋ
蚣,東,ɒŋ
攻,東,ɒŋ
蒙,東,ɒŋ
濛,東,ɒŋ
朦,東,ɒŋ
矇,東,ɒŋ
饛,東,ɒŋ
幪,東,ɒŋ
朦,東,ɒŋ
籠,東,ɒŋ
朧,東,ɒŋ
聾,東,ɒŋ
礱,東,ɒŋ
櫳,東,ɒŋ
瓏,東,ɒŋ
洪,東,ɒŋ
訌,東,ɒŋ
紅,東,ɒŋ
虹,東,ɒŋ
鴻,東,ɒŋ
叢,東,ɒŋ
䕺,東,ɒŋ
翁,東,ɒŋ
蓊,東,ɒŋ
怱,東,ɒŋ
葱,東,ɒŋ
聦,東,ɒŋ
𤧚,東,ɒŋ
騘,東,ɒŋ
囪,東,ɒŋ
通,東,ɒŋ
恫,東,ɒŋ
鬷,東,ɒŋ
豵,東,ɒŋ
椶,東,ɒŋ
騣,東,ɒŋ
蓬,東,ɒŋ
篷,東,ɒŋ
芃,侵,ɔm
烘,東,ɒŋ
叿,東,ɒŋ
冬,冬,ɔŋ
彤,冬,ɔŋ
琮,冬,ɔŋ
淙,冬,ɔŋ
農,冬,ɔŋ
儂,冬,ɔŋ
膿,冬,ɔŋ
宗,冬,ɔŋ
鬆,東,ɒŋ
鍾,東,ɒŋ
鐘,東,ɒŋ
龍,東,ɒŋ
舂,東,ɒŋ
松,東,ɒŋ
𧘂,東,ɒŋ
憧,東,ɒŋ
容,東,ɒŋ
溶,東,ɒŋ
庸,東,ɒŋ
墉,東,ɒŋ
鎔,東,ɒŋ
鄘,東,ɒŋ
傭,東,ɒŋ
鱅,東,ɒŋ
蓉,東,ɒŋ
封,東,ɒŋ
葑,東,ɒŋ
胷,東,ɒŋ
凶,東,ɒŋ
洶,東,ɒŋ
兇,東,ɒŋ
訩,東,ɒŋ
匈,東,ɒŋ
顒,東,ɒŋ
邕,東,ɒŋ
雍,東,ɒŋ
饔,東,ɒŋ
壅,東,ɒŋ
醲,冬,ɔŋ
濃,冬,ɔŋ
襛,冬,ɔŋ
穠,冬,ɔŋ
重,東,ɒŋ
從,東,ɒŋ
逢,東,ɒŋ
縫,東,ɒŋ
峯,東,ɒŋ
鋒,東,ɒŋ
丰,東,ɒŋ
蜂,東,ɒŋ
烽,東,ɒŋ
縱,東,ɒŋ
蹤,東,ɒŋ
茸,東,ɒŋ
蛩,東,ɒŋ
邛,東,ɒŋ
鱅,東,ɒŋ
恭,東,ɒŋ
龔,東,ɒŋ
供,東,ɒŋ
共,東,ɒŋ
淞,東,ɒŋ
樅,東,ɒŋ
從,東,ɒŋ
江,東,ɒŋ
扛,東,ɒŋ
杠,東,ɒŋ
釭,東,ɒŋ
肛,東,ɒŋ
玒,東,ɒŋ
厖,東,ɒŋ
尨,東,ɒŋ
哤,東,ɒŋ
牎,東,ɒŋ
邦,東,ɒŋ
降,東,ɒŋ
雙,東,ɒŋ
龐,東,ɒŋ
腔,東,ɒŋ
幢,東,ɒŋ
撞,東,ɒŋ
樁,東,ɒŋ
支,支,ə
卮,支,ə
栀,支,ə
枝,支,ə
祇,支,ə
肢,支,ə
氏,支,ə
榰,支,ə
移,歌,ʌl
迆,歌,ʌl
蛇,歌,ʌl
為,歌,ʌl
媯,歌,ʌl
麾,歌,ʌl
逶,微,ɔl
萎,微,ɔl
倭,微,ɔl
委,微,ɔl
糜,歌,ʌl
縻,歌,ʌl
隳,歌,ʌl
觿,歌,ʌl
錘,歌,ʌl
垂,歌,ʌl
陲,歌,ʌl
羸,歌,ʌl
吹,歌,ʌl
炊,歌,ʌl
披,歌,ʌl
陂,歌,ʌl
碑,支,ə
羆,歌,ʌl
隨,歌,ʌl
隋,歌,ʌl
虧,歌,ʌl
窺,支,ə
奇,歌,ʌl
琦,歌,ʌl
騎,歌,ʌl
碕,歌,ʌl
錡,歌,ʌl
祇,支,ə
岐,支,ə
歧,支,ə
疧,支,ə
軝,支,ə
芪,支,ə
跂,支,ə
伎,支,ə
犧,歌,ʌl
羲,歌,ʌl
曦,歌,ʌl
攲,歌,ʌl
宜,歌,ʌl
儀,歌,ʌl
䴊,歌,ʌl
皮,歌,ʌl
疲,歌,ʌl
匙,支,ə
兒,支,ə
離,歌,ʌl
籬,歌,ʌl
醨,歌,ʌl
罹,歌,ʌl
酈,支,ə
驪,支,ə
鸝,支,ə
縭,歌,ʌl
麗,支,ə
离,歌,ʌl
蠡,支,ə
漓,歌,ʌl
疵,支,ə
玼,支,ə
茈,支,ə
貲,支,ə
訾,支,ə
觜,支,ə
羈,歌,ʌl
畸,歌,ʌl
羇,歌,ʌl
奇,歌,ʌl
卑,支,ə
陴,支,ə
脾,支,ə
埤,支,ə
裨,支,ə
蜱,支,ə
紕,脂,əl
施,歌,ʌl
斯,支,ə
廝,支,ə
凘,支,ə
差,歌,ʌl
螭,歌,ʌl
彌,脂,əl
冞,脂,əl
瀰,脂,əl
雌,支,ə
知,支,ə
蜘,支,ə
漪,歌,ʌl
猗,歌,ʌl
椅,歌,ʌl
馳,歌,ʌl
池,歌,ʌl
篪,支,ə
踟,支,ə
危,歌,ʌl
釃,支,ə
規,支,ə
眵,歌,ʌl
脂,脂,əl
祗,脂,əl
姨,脂,əl
彝,脂,əl
夷,脂,əl
痍,脂,əl
桋,脂,əl
師,脂,əl
獅,脂,əl
毗,脂,əl
比,脂,əl
琵,脂,əl
芘,脂,əl
貔,脂,əl
蚍,脂,əl
枇,脂,əl
咨,脂,əl
資,脂,əl
粢,脂,əl
諮,脂,əl
姿,脂,əl
飢,脂,əl
肌,脂,əl
鴟,脂,əl
絺,微,ɔl
郗,微,ɔl
茨,脂,əl
餈,之,ɔɪ
瓷,脂,əl
尼,脂,əl
墀,脂,əl
坻,脂,əl
遲,脂,əl
私,脂,əl
尸,脂,əl
鳲,脂,əl
屍,脂,əl
蓍,脂,əl
鬐,脂,əl
耆,脂,əl
祁,脂,əl
伊,脂,əl
梨,脂,əl
葵,脂,əl
追,微,ɔl
龜,之,ɔɪ
蕤,微,ɔl
緌,微,ɔl
衰,微,ɔl
惟,微,ɔl
維,微,ɔl
遺,微,ɔl
濰,微,ɔl
唯,微,ɔl
纍,微,ɔl
𡤯,微,ɔl
纝,微,ɔl
綏,微,ɔl
雖,微,ɔl
睢,微,ɔl
逵,幽,ɔ
夔,脂,əl
馗,幽,ɔ
騤,脂,əl
眉,脂,əl
湄,脂,əl
楣,脂,əl
麋,脂,əl
郿,脂,əl
悲,微,ɔl
錐,微,ɔl
隹,微,ɔl
騅,微,ɔl
鵻,微,ɔl
誰,微,ɔl
帷,微,ɔl
邳,之,ɔɪ
丕,之,ɔɪ
伾,之,ɔɪ
秠,之,ɔɪ
駓,之,ɔɪ
鎚,微,ɔl
椎,微,ɔl
槌,微,ɔl
推,微,ɔl
胝,脂,əl
氐,脂,əl
紕,脂,əl
巋,微,ɔl
屎,脂,əl
之,之,ɔɪ
芝,之,ɔɪ
飴,之,ɔɪ
怡,之,ɔɪ
圯,之,ɔɪ
貽,之,ɔɪ
頤,之,ɔɪ
詒,之,ɔɪ
時,之,ɔɪ
塒,之,ɔɪ
蒔,之,ɔɪ
疑,之,ɔɪ
嶷,之,ɔɪ
思,之,ɔɪ
司,之,ɔɪ
伺,之,ɔɪ
絲,之,ɔɪ
緦,之,ɔɪ
偲,之,ɔɪ
其,之,ɔɪ
期,之,ɔɪ
旗,之,ɔɪ
綦,之,ɔɪ
萁,之,ɔɪ
琪,之,ɔɪ
麒,之,ɔɪ
騏,之,ɔɪ
淇,之,ɔɪ
棊,之,ɔɪ
祺,之,ɔɪ
詩,之,ɔɪ
而,之,ɔɪ
陾,之,ɔɪ
洏,之,ɔɪ
欺,之,ɔɪ
僛,之,ɔɪ
姬,之,ɔɪ
朞,之,ɔɪ
基,之,ɔɪ
箕,之,ɔɪ
詞,之,ɔɪ
祠,之,ɔɪ
辭,之,ɔɪ
辤,之,ɔɪ
釐,之,ɔɪ
狸,之,ɔɪ
菑,之,ɔɪ
淄,之,ɔɪ
輜,之,ɔɪ
錙,之,ɔɪ
緇,之,ɔɪ
僖,之,ɔɪ
熙,之,ɔɪ
嬉,之,ɔɪ
禧,之,ɔɪ
熹,之,ɔɪ
嘻,之,ɔɪ
醫,之,ɔɪ
噫,之,ɔɪ
癡,之,ɔɪ
笞,之,ɔɪ
治,之,ɔɪ
持,之,ɔɪ
蚩,之,ɔɪ
慈,之,ɔɪ
鶿,之,ɔɪ
茲,之,ɔɪ
茲,之,ɔɪ
孳,之,ɔɪ
孜,之,ɔɪ
滋,之,ɔɪ
鼒,之,ɔɪ
微,微,ɔl
薇,微,ɔl
揮,微,ɔl
煇,微,ɔl
輝,微,ɔl
暉,微,ɔl
徽,微,ɔl
翬,微,ɔl
幃,微,ɔl
韋,微,ɔl
闈,微,ɔl
圍,微,ɔl
違,微,ɔl
霏,微,ɔl
妃,微,ɔl
菲,微,ɔl
騑,微,ɔl
飛,微,ɔl
扉,微,ɔl
緋,微,ɔl
非,微,ɔl
肥,微,ɔl
腓,微,ɔl
淝,微,ɔl
威,微,ɔl
祈,微,ɔl
頎,微,ɔl
旂,微,ɔl
畿,微,ɔl
圻,微,ɔl
機,微,ɔl
譏,微,ɔl
嘰,微,ɔl
