字頭,字頭,補充,古韻,擬音,,,,
阿（阿衡，阿瞞）,阿,（阿衡，阿瞞）,歌,ʌl,,,,
蝦（蛤蟆）,蝦,（蛤蟆）,魚,ʌ,,,,
奓（奢，張開）,奓,（奢，張開）,魚,ʌ,,,,
觰,觰,,魚,ʌ,,,,
譇,譇,,魚,ʌ,,,,
樝（楂）,樝,（楂）,魚,ʌ,,,,
柤,柤,,魚,ʌ,,,,
䶥（齒不正）,䶥,（齒不正）,魚,ʌ,,,,
皻,皻,,魚,ʌ,,,,
抯,抯,,魚,ʌ,,,,
渣,渣,,魚,ʌ,,,,
摣,摣,,魚,ʌ,,,,
齟（齒不正）,齟,（齒不正）,魚,ʌ,,,,
皶,皶,,魚,ʌ,,,,
哳,哳,,月,ʌt,,,,
札,札,,月,ʌt,,,,
蚻,蚻,,月,ʌt,,,,
蠿,蠿,,月,ʌt,,,,
喋（唼喋）,喋,（唼喋）,葉,ʌp,,,,
霅（霅霅，雷電貌）,霅,（霅霅，雷電貌）,葉,ʌp,,,,
鮓,鮓,,鐸,ʌk,,,,
鮺,鮺,,鐸,ʌk,,,,
吒,吒,,鐸,ʌk,,,,
咤,咤,,鐸,ʌk,,,,
詐,詐,,鐸,ʌk,,,,
乍,乍,,鐸,ʌk,,,,
䄍,䄍,,鐸,ʌk,,,,
蜡（祭名）,蜡,（祭名）,鐸,ʌk,,,,
𧧻,𧧻,,鐸,ʌk,,,,
咋（暫）,咋,（暫）,鐸,ʌk,,,,
栅（栅欄）,栅,（栅欄）,錫,ək,,,,
溠,溠,,歌,ʌl,,,,
㗬,㗬,,歌,ʌl,,,,
叉,叉,,歌,ʌl,,,,
杈,杈,,歌,ʌl,,,,
差（差錯）,差,（差錯）,歌,ʌl,,,,
艖,艖,,歌,ʌl,,,,
扠,扠,,歌,ʌl,,,,
扱（插）,扱,（插）,緝,ɔp,,,,
插,插,,葉,ʌp,,,,
臿,臿,,葉,ʌp,,,,
疀,疀,,葉,ʌp,,,,
鍤,鍤,,葉,ʌp,,,,
㛼,㛼,,葉,ʌp,,,,
䠧,䠧,,魚,ʌ,,,,
荼（茶）,荼,（茶）,魚,ʌ,,,,
秅（數量名）,秅,（數量名）,魚,ʌ,,,,
䅊（㢉）,䅊,（㢉）,魚,ʌ,,,,
秺（同秅）,秺,（同秅）,魚,ʌ,,,,
苴（枯草）,苴,（枯草）,魚,ʌ,,,,
槎,槎,,歌,ʌl,,,,
察,察,,月,ʌt,,,,
詧,詧,,月,ʌt,,,,
奼（姹）,奼,（姹）,鐸,ʌk,,,,
奼（姹）,奼,（姹）,鐸,ʌk,,,,
詫,詫,,鐸,ʌk,,,,
侘,侘,,鐸,ʌk,,,,
姹,姹,,鐸,ʌk,,,,
鯊（吹沙小魚）,鯊,（吹沙小魚）,歌,ʌl,,,,
魦,魦,,歌,ʌl,,,,
沙,沙,,歌,ʌl,,,,
桬,桬,,歌,ʌl,,,,
紗硰,紗,硰,歌,ʌl,,,,
硰,硰,,歌,ʌl,,,,
莎（莎雞，蟲名）,莎,（莎雞，蟲名）,歌,ʌl,,,,
莎（莎雞，蟲名）,莎,（莎雞，蟲名）,歌,ʌl,,,,
殺（戮）,殺,（戮）,月,ʌt,,,,
煞,煞,,月,ʌt,,,,
蔱,蔱,,月,ʌt,,,,
榝,榝,,月,ʌt,,,,
嗄,嗄,,魚,ʌ,,,,
歃,歃,,葉,ʌp,,,,
箑,箑,,葉,ʌp,,,,
䈉,䈉,,葉,ʌp,,,,
萐,萐,,葉,ʌp,,,,
翣,翣,,葉,ʌp,,,,
啑,啑,,葉,ʌp,,,,
翜,翜,,葉,ʌp,,,,
帀（匝）,帀,（匝）,緝,ɔp,,,,
噆（口含）,噆,（口含）,緝,ɔp,,,,
唼（魚吃食）,唼,（魚吃食）,葉,ʌp,,,,
巀,巀,,月,ʌt,,,,
𡂐（多言）,𡂐,（多言）,月,ʌt,,,,
