字號,字,韻部,韻母
1,東,東,ɒŋ
9,涷,東,ɒŋ
10,蝀,東,ɒŋ
11,凍,東,ɒŋ
18,同,東,ɒŋ
20,童,東,ɒŋ
21,僮,東,ɒŋ
22,銅,東,ɒŋ
23,桐,東,ɒŋ
28,筒,東,ɒŋ
32,罿,東,ɒŋ
34,筩,東,ɒŋ
35,潼,東,ɒŋ
37,洞,東,ɒŋ
38,侗,東,ɒŋ
44,鮦,東,ɒŋ
48,眮,東,ɒŋ
49,蕫,東,ɒŋ
50,穜,東,ɒŋ
51,衕,東,ɒŋ
63,中,中,ɔŋ
64,衷,中,ɔŋ
65,忠,中,ɔŋ
66,𦬕,中,ɔŋ
67,蟲,中,ɔŋ
68,沖,中,ɔŋ
70,盅,中,ɔŋ
72,𦬕,中,ɔŋ
75,終,中,ɔŋ
77,潀,中,ɔŋ
79,螽,中,ɔŋ
81,鼨,中,ɔŋ
85,䶱,中,ɔŋ
90,忡,中,ɔŋ
92,盅,中,ɔŋ
93,崇,中,ɔŋ
100,娀,中,ɔŋ
106,戎,中,ɔŋ
115,弓,蒸,ɔɪŋ
116,躳,中,ɔŋ
117,躬,中,ɔŋ
119,宮,中,ɔŋ
121,融,中,ɔŋ
122,融,中,ɔŋ
123,肜,中,ɔŋ
125,雄,蒸,ɔɪŋ
126,熊,侵,ɔm
127,瞢,蒸,ɔɪŋ
128,夢,蒸,ɔɪŋ
129,𨞯,蒸,ɔɪŋ
130,懜,蒸,ɔɪŋ
133,穹,蒸,ɔɪŋ
137,𦵡,中,ɔŋ
140,窮,中,ɔŋ
142,𥨪,中,ɔŋ
143,馮,蒸,ɔɪŋ
145,汎,侵,ɔm
146,芃,侵,ɔm
147,𨝭,蒸,ɔɪŋ
150,風,侵,ɔm
152,楓,侵,ɔm
157,豐,中,ɔŋ
158,酆,中,ɔŋ
159,蘴,中,ɔŋ
162,麷,中,ɔŋ
165,充,中,ɔŋ
172,隆,中,ɔŋ
173,癃,中,ɔŋ
174,𪔳,中,ɔŋ
178,空,東,ɒŋ
186,倥,東,ɒŋ
192,公,東,ɒŋ
193,功,東,ɒŋ
194,工,東,ɒŋ
197,玒,東,ɒŋ
198,釭,東,ɒŋ
200,攻,東,ɒŋ
205,蒙,東,ɒŋ
206,冡,東,ɒŋ
207,濛,東,ɒŋ
208,𩦺,東,ɒŋ
211,矇,東,ɒŋ
212,饛,東,ɒŋ
215,𨢊,東,ɒŋ
218,鸏,東,ɒŋ
219,幪,東,ɒŋ
222,髳,東,ɒŋ
223,蠓,東,ɒŋ
224,𦿏,蒸,ɔɪŋ
227,霚,東,ɒŋ
232,籠,東,ɒŋ
233,豅,東,ɒŋ
234,㰍,東,ɒŋ
237,龓,東,ɒŋ
239,瀧,東,ɒŋ
240,聾,東,ɒŋ
242,礱,東,ɒŋ
245,嚨,東,ɒŋ
246,蘢,東,ɒŋ
247,櫳,東,ɒŋ
250,襱,東,ɒŋ
