字符,韵部,韵母,,,,
㐁,添,ʌm,,,,
㑄,侯,ɒ,,,,
㑋,东,ɒŋ,,,,
㑗,先,ən,,,,
㑥,锡,ək,,,,
㑾,豪,o,,,,
㓠,添,ʌm,,,,
㓡,萧,ɔ,,,,
㓨,锡,ək,,,,
㓵,铎,ʌk,,,,
㓷,曷,ʌt,,,,
㔹,德,ɔɪk,,,,
㕎,怗,ʌp,,,,
㕒,歌,ʌl,,,,
㕙,痕,ɔn,,,,
㕞,曷,ʌt,,,,
㕧,灰,ɔl,,,,
㕮,模,ʌ,,,,
㕹,曷,ʌt,,,,
㖃,"侯,侯","ɒ,ɒ",,,,
㖤,覃,ɔm,,,,
㖶,痕,ɔn,,,,
㗃,痕,ɔn,,,,
㗅,模,ʌ,,,,
㗉,铎,ʌk,,,,
㗊,合,ɔp,,,,
㗘,铎,ʌk,,,,
㗤,沃,ɔk,,,,
㗦,萧,ɔ,,,,
㘈,"咍,德","ɔɪ,ɔɪk",,,,
㘉,屑,ət,,,,
㘊,合,ɔp,,,,
㘓,寒,ʌn,,,,
㘖,寒,ʌn,,,,
㘩,灰,ɔl,,,,
㙚,青,əŋ,,,,
㙬,先,ən,,,,
㙷,合,ɔp,,,,
㙻,寒,ʌn,,,,
㚇,东,ɒŋ,,,,
㚒,添,ʌm,,,,
㚤,德,ɔɪk,,,,
㛂,歌,ʌl,,,,
㛗,歌,ʌl,,,,
㛮,萧,ɔ,,,,
㛹,寒,ʌn,,,,
㜎,齐,ə,,,,
㜘,"模,模","ʌ,ʌ",,,,
㜸,曷,ʌt,,,,
㜿,模,ʌ,,,,
㝃,寒,ʌn,,,,
㝅,屋,ɒk,,,,
㝌,咍,ɔɪ,,,,
㝔,豪,o,,,,
㝗,唐,ʌŋ,,,,
㝢,模,ʌ,,,,
㝩,唐,ʌŋ,,,,
㝱,登,ɔɪŋ,,,,
㝾,歌,ʌl,,,,
㝿,歌,ʌl,,,,
㞕,屑,ət,,,,
㞦,灰,ɔl,,,,
㟋,曷,ʌt,,,,
㟐,唐,ʌŋ,,,,
㠀,萧,ɔ,,,,
㠎,合,ɔp,,,,
㠑,灰,ɔl,,,,
㠖,歌,ʌl,,,,
㠯,咍,ɔɪ,,,,
㠾,寒,ʌn,,,,
㡆,唐,ʌŋ,,,,
㡓,痕,ɔn,,,,
㡘,添,ʌm,,,,
㡛,唐,ʌŋ,,,,
㡲,寒,ʌn,,,,
㡿,铎,ʌk,,,,
㢙,痕,ɔn,,,,
㢮,"歌,歌","ʌl,ʌl",,,,
㣯,屑,ət,,,,
㣻,曷,ʌt,,,,
㤅,没,ɔt,,,,
㤥,咍,ɔɪ,,,,
㤨,东,ɒŋ,,,,
㤰,铎,ʌk,,,,
㥄,登,ɔɪŋ,,,,
㥋,灰,ɔl,,,,
㥏,痕,ɔn,,,,
㥛,德,ɔɪk,,,,
㥦,怗,ʌp,,,,
㥷,曷,ʌt,,,,
㦛,模,ʌ,,,,
㦽,德,ɔɪk,,,,
㧊,曷,ʌt,,,,
㧑,歌,ʌl,,,,
㧖,锡,ək,,,,
㧗,齐,ə,,,,
㧘,齐,ə,,,,
㧙,屑,ət,,,,
㧬,东,ɒŋ,,,,
㧰,沃,ɔk,,,,
㧺,合,ɔp,,,,
㧻,屋,ɒk,,,,
㨄,萧,ɔ,,,,
㨎,曷,ʌt,,,,
㨔,覃,ɔm,,,,
㨖,屑,ət,,,,
㨨,"萧,萧","ɔ,ɔ",,,,
㨫,添,ʌm,,,,
㨻,添,ʌm,,,,
㩃,寒,ʌn,,,,
㩌,没,ɔt,,,,
㩜,添,ʌm,,,,
㩣,痕,ɔn,,,,
㩴,铎,ʌk,,,,
㩻,歌,ʌl,,,,
㩼,齐,ə,,,,
㪉,合,ɔp,,,,
㪍,没,ɔt,,,,
㪷,侯,ɒ,,,,
㪺,萧,ɔ,,,,
㫃,寒,ʌn,,,,
㬇,寒,ʌn,,,,
㬉,寒,ʌn,,,,
㬜,先,ən,,,,
㬣,没,ɔt,,,,
㬫,寒,ʌn,,,,
㬮,寒,ʌn,,,,
㬻,唐,ʌŋ,,,,
㭊,锡,ək,,,,
㭒,咍,ɔɪ,,,,
㭕,模,ʌ,,,,
㭘,"合,合","ɔp,ɔp",,,,
㮓,"登,登","ɔɪŋ,ɔɪŋ",,,,
㮕,寒,ʌn,,,,
㮚,屑,ət,,,,
㮨,德,ɔɪk,,,,
㮯,痕,ɔn,,,,
㮰,灰,ɔl,,,,
㮴,萧,ɔ,,,,
㯕,齐,ə,,,,
㯷,屋,ɒk,,,,
㯺,添,ʌm,,,,
㰍,东,ɒŋ,,,,
㰚,歌,ʌl,,,,
㱂,唐,ʌŋ,,,,
㱃,覃,ɔm,,,,
㱕,灰,ɔl,,,,
㱙,萧,ɔ,,,,
㱩,屋,ɒk,,,,
㱮,灰,ɔl,,,,
㱾,咍,ɔɪ,,,,
㲈,豪,o,,,,
㲋,沃,ɔk,,,,
㲻,沃,ɔk,,,,
㲿,唐,ʌŋ,,,,
㳄,寒,ʌn,,,,
㳅,萧,ɔ,,,,
㳬,寒,ʌn,,,,
㴑,铎,ʌk,,,,
㴔,合,ɔp,,,,
㴲,齐,ə,,,,
㴶,沃,ɔk,,,,
㵝,曷,ʌt,,,,
㵣,曷,ʌt,,,,
㶁,铎,ʌk,,,,
㶅,沃,ɔk,,,,
㶉,齐,ə,,,,
㶌,寒,ʌn,,,,
㶟,灰,ɔl,,,,
㶳,先,ən,,,,
㷠,先,ən,,,,
㷭,东,ɒŋ,,,,
㷮,萧,ɔ,,,,
㸋,寒,ʌn,,,,
㸬,曷,ʌt,,,,
㹁,唐,ʌŋ,,,,
㹊,沃,ɔk,,,,
㹞,痕,ɔn,,,,
㹠,痕,ɔn,,,,
㹪,寒,ʌn,,,,
㹶,青,əŋ,,,,
㺉,屋,ɒk,,,,
㺎,东,ɒŋ,,,,
㺑,覃,ɔm,,,,
㺒,"萧,萧","ɔ,ɔ",,,,
㺜,冬,ɔŋ,,,,
㺟,沃,ɔk,,,,
㺨,灰,ɔl,,,,
㻬,模,ʌ,,,,
㼚,唐,ʌŋ,,,,
㼜,唐,ʌŋ,,,,
㼝,寒,ʌn,,,,
㼽,唐,ʌŋ,,,,
㽕,萧,ɔ,,,,
㽘,唐,ʌŋ,,,,
㽷,灰,ɔl,,,,
㽽,模,ʌ,,,,
㾁,没,ɔt,,,,
㾈,侯,ɒ,,,,
㾐,曷,ʌt,,,,
㾓,寒,ʌn,,,,
㾕,先,ən,,,,
㿅,"寒,寒","ʌn,ʌn",,,,
㿉,灰,ɔl,,,,
㿊,覃,ɔm,,,,
㿗,灰,ɔl,,,,
㿙,屑,ət,,,,
㿥,沃,ɔk,,,,
䀉,豪,o,,,,
䀒,先,ən,,,,
䀛,"没,没","ɔt,ɔt",,,,
䀢,痕,ɔn,,,,
䀣,屑,ət,,,,
䀪,唐,ʌŋ,,,,
䀶,唐,ʌŋ,,,,
䀹,怗,ʌp,,,,
䁓,东,ɒŋ,,,,
䁔,寒,ʌn,,,,
䁝,青,əŋ,,,,
䁢,寒,ʌn,,,,
䁨,铎,ʌk,,,,
䁲,齐,ə,,,,
䁵,寒,ʌn,,,,
䁾,曷,ʌt,,,,
䂦,痕,ɔn,,,,
䂬,东,ɒŋ,,,,
䃂,痕,ɔn,,,,
䃅,灰,ɔl,,,,
䃉,先,ən,,,,
䃌,痕,ɔn,,,,
䃍,没,ɔt,,,,
䃒,锡,ək,,,,
䃣,歌,ʌl,,,,
䃤,沃,ɔk,,,,
䃺,歌,ʌl,,,,
䄍,铎,ʌk,,,,
䄏,豪,o,,,,
䅌,寒,ʌn,,,,
䅘,咍,ɔɪ,,,,
䅵,沃,ɔk,,,,
䆃,萧,ɔ,,,,
䆗,萧,ɔ,,,,
䆘,怗,ʌp,,,,
䆫,东,ɒŋ,,,,
䇏,灰,ɔl,,,,
䇐,屑,ət,,,,
䇑,齐,ə,,,,
䇘,模,ʌ,,,,
䇨,冬,ɔŋ,,,,
䇫,咍,ɔɪ,,,,
䇬,侯,ɒ,,,,
䇲,锡,ək,,,,
䈉,怗,ʌp,,,,
䈎,怗,ʌp,,,,
䈏,德,ɔɪk,,,,
䈚,咍,ɔɪ,,,,
䈰,豪,o,,,,
䈵,东,ɒŋ,,,,
䈽,痕,ɔn,,,,
䉋,灰,ɔl,,,,
䉛,沃,ɔk,,,,
䉷,添,ʌm,,,,
䊆,萧,ɔ,,,,
䊝,屑,ət,,,,
䊧,没,ɔt,,,,
䊪,"曷,曷","ʌt,ʌt",,,,
䊳,歌,ʌl,,,,
䊷,咍,ɔɪ,,,,
䋁,唐,ʌŋ,,,,
䋃,豪,o,,,,
䋈,模,ʌ,,,,
䋎,寒,ʌn,,,,
䋐,曷,ʌt,,,,
䋛,灰,ɔl,,,,
䋤,沃,ɔk,,,,
䋫,青,əŋ,,,,
䌌,合,ɔp,,,,
