廣韻字頭(覈校後),廣韻字頭原貌(覈校前),聲紐,聲母擬音,呼,等,韻部(調整後),廣韻韻部原貌(調整前),,韻母擬音,聲調,廣韻反切(覈校後),廣韻反切原貌(覈校前),全王本切韻-反切,裴本切韻-反切,先秦韻部（引自余迺永的《上古音系研究》）,廣韻釋義,釋義補充
東,東,端,t̺,開,一,東,東,開一東,ɞŋ,平,德紅,德紅,德紅,德紅,東,春方也說文曰動也从日在木中亦東風菜廣州記云陸地生莖赤和肉作羹味如酪香似蘭吳都賦云莫則東風扶留又姓舜七友有東不訾又漢複姓十三氏左傳魯鄉東門襄仲後因氏焉齊有大夫東郭偃又有東宮得臣晉有東關嬖五神仙傳有廣陵人東陵聖母適杜氏齊景公時有隱居東陵者乃以爲氏世本宋大夫東鄉爲人賈執英賢傳云今高密有東鄉姓宋有員外郎東陽無疑撰齊諧記七卷昔有東閭子甞富貴後乞於道云吾爲相六年未薦一士夏禹之後東樓公封于杞後以爲氏莊子東野稷漢有平原東方朔曹瞞傳有南陽太守東里昆何氏姓苑有東萊氏德紅切十七,
菄,菄,端,t̺,開,一,東,東,開一東,ɞŋ,平,德紅,德紅,,,,東風菜義見上注俗加艹,春方也說文曰動也从日在木中亦東風菜廣州記云陸地生莖赤和肉作羹味如酪香似蘭吳都賦云莫則東風扶留又姓舜七友有東不訾又漢複姓十三氏左傳魯鄉東門襄仲後因氏焉齊有大夫東郭偃又有東宮得臣晉有東關嬖五神仙傳有廣陵人東陵聖母適杜氏齊景公時有隱居東陵者乃以爲氏世本宋大夫東鄉爲人賈執英賢傳云今高密有東鄉姓宋有員外郎東陽無疑撰齊諧記七卷昔有東閭子甞富貴後乞於道云吾爲相六年未薦一士夏禹之後東樓公封于杞後以爲氏莊子東野稷漢有平原東方朔曹瞞傳有南陽太守東里昆何氏姓苑有東萊氏德紅切十七
鶇,鶇,端,t̺,開,一,東,東,開一東,ɞŋ,平,德紅,德紅,,,,鶇鵍鳥名美形出廣雅亦作𪂝,
䍶,䍶,端,t̺,開,一,東,東,開一東,ɞŋ,平,德紅,德紅,,德紅,,獸名山海經曰秦戲山有獸狀如羊一角一目目在耳後其名曰䍶又音陳音棟,
𠍀,𠍀,端,t̺,開,一,東,東,開一東,ɞŋ,平,德紅,德紅,,,,儱𠍀儜劣皃出字諟,
倲,倲,端,t̺,開,一,東,東,開一東,ɞŋ,平,德紅,德紅,,,,上同,儱𠍀儜劣皃出字諟
𩜍,𩜍,端,t̺,開,一,東,東,開一東,ɞŋ,平,德紅,德紅,,,,地理志云東郡館名,
𢘐,𢘐,端,t̺,開,一,東,東,開一東,ɞŋ,平,德紅,德紅,,,,古文見道經,
涷,涷,端,t̺,開,一,東,東,開一東,ɞŋ,平,德紅,德紅,德紅,德紅,,瀧涷沾漬說文曰水出發鳩山入於河又都貢切,
蝀,蝀,端,t̺,開,一,東,東,開一東,ɞŋ,平,德紅,德紅,,,,螮蝀虹也又音董,
凍,凍,端,t̺,開,一,東,東,開一東,ɞŋ,平,德紅,德紅,,德紅,,凍凌又都貢切,
鯟,鯟,端,t̺,開,一,東,東,開一東,ɞŋ,平,德紅,德紅,,,,魚名似鯉,
𢔅,𢔅,端,t̺,開,一,東,東,開一東,ɞŋ,平,德紅,德紅,,,,行皃,
崠,崠,端,t̺,開,一,東,東,開一東,ɞŋ,平,德紅,德紅,,,,崠如山名,
埬,埬,端,t̺,開,一,東,東,開一東,ɞŋ,平,德紅,德紅,,,,上埬地名,
𧓕,𧓕,端,t̺,開,一,東,東,開一東,ɞŋ,平,德紅,德紅,,,,蛞𧓕科斗蟲也案爾雅曰科斗活東郭璞云蝦蟆子也字俗從䖵,
䰤,䰤,端,t̺,開,一,東,東,開一東,ɞŋ,平,德紅,德紅,,,,醜皃,
同,同,定,ˀd̺ʱ,開,一,東,東,開一東,ɞŋ,平,徒紅,徒紅,徒紅,徒紅,東,齊也共也輩也合也律歷有六同亦州春秋時晉夷吾獻其西河地於秦七國時屬魏秦并天下爲內史之地漢武更名馮翊又有九龍泉泉有九源同爲一流因以名之又羌複姓有同蹄氏望在勃海徒紅切四十五,
仝,仝,定,ˀd̺ʱ,開,一,東,東,開一東,ɞŋ,平,徒紅,徒紅,,,,古文出道書,
童,童,定,ˀd̺ʱ,開,一,東,東,開一東,ɞŋ,平,徒紅,徒紅,徒紅,徒紅,東,童獨也言童子未有室家也又姓出東莞漢有琅邪內史童仲玉,
僮,僮,定,ˀd̺ʱ,開,一,東,東,開一東,ɞŋ,平,徒紅,徒紅,徒紅,徒紅,,僮僕又頑也癡也又姓漢有交阯刺史僮尹出風俗通,
銅,銅,定,ˀd̺ʱ,開,一,東,東,開一東,ɞŋ,平,徒紅,徒紅,徒紅,徒紅,,金之一品,
桐,桐,定,ˀd̺ʱ,開,一,東,東,開一東,ɞŋ,平,徒紅,徒紅,徒紅,徒紅,,木名月令曰清明之日桐始華又桐廬縣在睦州亦姓有桐君藥錄兩卷,
峒,峒,定,ˀd̺ʱ,開,一,東,東,開一東,ɞŋ,平,徒紅,徒紅,徒紅,徒紅,,崆峒山名,
硐,硐,定,ˀd̺ʱ,開,一,東,東,開一東,ɞŋ,平,徒紅,徒紅,徒紅,徒紅,,磨也,
𦨴,𦨴,定,ˀd̺ʱ,開,一,東,東,開一東,ɞŋ,平,徒紅,徒紅,徒紅,徒紅,,𦨴船,
𧱁,𧱁,定,ˀd̺ʱ,開,一,東,東,開一東,ɞŋ,平,徒紅,徒紅,徒紅,徒紅,,獸似豕出泰山,
筒,筒,定,ˀd̺ʱ,開,一,東,東,開一東,ɞŋ,平,徒紅,徒紅,徒紅,徒紅,,竹筒又竹名射筒吳都賦曰其竹則桂箭射筒,
瞳,瞳,定,ˀd̺ʱ,開,一,東,東,開一東,ɞŋ,平,徒紅,徒紅,徒紅,徒紅,,目瞳,
㼧,㼧,定,ˀd̺ʱ,開,一,東,東,開一東,ɞŋ,平,徒紅,徒紅,徒紅,徒紅,,㼧瓦,
